81,2018-04-06,,Dallas Stars,5,3,W,,,33,2,1,4,0,,26,8,0,1,0,,45,44,50.6,34,31,52.3,20,25,44.4,28.6,102.4
82,2018-04-07,@,Arizona Coyotes,3,0,W,,,27,15,1,2,0,,31,11,,4,,,43,58,42.6,35,42,45.5,24,22,52.2,45.5,109.1
1,2016-10-13,@,Dallas Stars,2,4,L,,,35,8,0,5,1,,20,10,0,4,0,,40,41,49.4,34,29,54.0,27,14,65.9,75.0,79.5
2,2016-10-15,@,Pittsburgh Penguins,2,3,L,,,36,6,1,3,0,,45,6,1,3,0,,54,46,54.0,41,40,50.6,34,18,65.4,42.9,97.7
3,2016-10-16,@,New York Islanders,2,3,L,OT,,26,10,0,4,0,,30,10,0,4,0,,34,44,43.6,23,34,40.4,23,20,53.5,49.7,98.5
4,2016-10-18,@,New Jersey Devils,1,2,L,,,24,19,1,4,0,,28,13,2,7,0,,25,28,47.2,18,21,46.2,20,21,48.8,57.7,100.0
5,2016-10-20,@,Philadelphia Flyers,3,2,W,,,26,16,0,2,0,,22,6,1,7,0,,35,30,53.8,22,20,52.4,16,13,55.2,40.0,109.1
6,2016-10-23,,Vancouver Canucks,4,2,W,,,37,4,1,2,0,,19,4,0,2,1,,66,31,68.0,46,24,65.7,31,16,66.0,70.6,102.7
7,2016-10-25,@,San Jose Sharks,1,2,L,OT,,20,13,0,3,0,,36,21,1,5,0,,33,45,42.3,18,28,39.1,26,17,60.5,42.9,104.2
8,2016-10-26,,Nashville Predators,6,1,W,,,26,10,3,4,2,,29,8,1,5,0,,34,47,42.0,27,35,43.5,23,19,54.8,42.3,107.1
9,2016-10-28,,Columbus Blue Jackets,0,4,L,,,35,17,0,4,0,,37,15,1,5,0,,47,42,52.8,42,37,53.2,25,19,56.8,53.1,89.7
10,2016-11-01,@,Los Angeles Kings,4,0,W,,,21,48,2,4,0,,30,44,,1,,,33,50,39.8,26,38,40.6,33,19,63.5,55.6,111.1
11,2016-11-02,,Pittsburgh Penguins,1,5,L,,,33,13,1,3,0,,34,13,1,3,0,,47,49,49.0,36,40,47.4,31,20,60.8,48.7,87.5
12,2016-11-04,,Arizona Coyotes,5,1,W,,,33,9,1,2,0,,22,11,0,1,0,,50,37,57.5,41,28,59.4,30,28,51.7,53.2,107.5
13,2016-11-06,,Calgary Flames,4,1,W,,,21,20,2,3,0,,26,22,0,2,0,,30,45,40.0,24,33,42.1,24,21,53.3,38.7,109.0
14,2016-11-09,@,Columbus Blue Jackets,2,3,L,OT,,32,6,0,3,0,,18,6,0,3,0,,40,32,55.6,28,20,58.3,31,21,59.6,54.5,88.7
15,2016-11-10,@,Carolina Hurricanes,4,2,W,,,27,9,0,3,0,,30,11,0,2,0,,35,53,39.8,27,33,45.0,22,24,47.8,28.6,112.3
16,2016-11-12,@,Nashville Predators,0,5,L,,,27,18,0,6,0,,27,22,1,4,1,,36,34,51.4,25,31,44.6,17,29,37.0,54.5,85.7
17,2016-11-15,,Edmonton Oilers,4,1,W,,,27,15,1,3,0,,34,13,0,4,0,,30,60,33.3,24,45,34.8,23,22,51.1,40.8,113.3
18,2016-11-17,,New Jersey Devils,3,2,W,,,23,6,0,2,0,,29,4,0,3,0,,39,51,43.3,29,40,42.0,34,29,54.0,37.5,106.7
19,2016-11-20,,Los Angeles Kings,2,3,L,,,30,11,1,7,0,,29,19,2,3,0,,40,41,49.4,27,34,44.3,28,15,65.1,28.6,101.4
20,2016-11-22,,New York Islanders,2,3,L,SO,,41,8,1,2,0,,35,4,1,5,0,,64,37,63.4,50,28,64.1,29,23,55.8,52.4,97.1
21,2016-11-25,,Chicago Blackhawks,2,3,L,,,36,4,0,2,0,,25,4,1,2,0,,57,36,61.3,44,27,62.0,44,16,73.3,52.8,97.4
22,2016-11-26,@,San Jose Sharks,3,2,W,,,26,6,1,1,0,,23,2,1,3,0,,50,53,48.5,36,29,55.4,27,33,45.0,48.7,102.5
23,2016-11-29,,Montreal Canadiens,2,1,W,,,38,13,1,4,0,,40,23,0,3,0,,48,66,42.1,39,48,44.8,26,26,50.0,42.0,101.1
24,2016-12-01,@,Vancouver Canucks,3,1,W,,,24,6,0,1,0,,28,2,0,3,0,,44,46,48.9,28,29,49.1,34,20,63.0,50.0,110.1
25,2016-12-03,@,Edmonton Oilers,2,3,L,OT,,33,9,1,2,0,,32,7,1,2,0,,55,54,50.5,36,39,48.0,26,21,55.3,45.5,96.4
26,2016-12-04,@,Calgary Flames,3,8,L,,,33,21,1,4,0,,25,33,2,3,1,,39,34,53.4,29,26,52.7,29,23,55.8,45.5,83.3
27,2016-12-07,,Carolina Hurricanes,6,5,W,SO,,38,10,0,3,0,,34,4,1,5,0,,57,42,57.6,41,37,52.6,29,20,59.2,38.0,99.0
28,2016-12-09,,San Jose Sharks,3,2,W,,,32,7,0,3,0,,24,11,0,1,0,,44,60,42.3,29,40,42.0,24,21,53.3,48.3,106.3
29,2016-12-11,,Ottawa Senators,5,1,W,,,32,10,3,4,0,,22,10,1,4,0,,48,43,52.7,42,28,60.0,28,21,57.1,52.4,107.1
30,2016-12-13,@,Dallas Stars,2,6,L,,,36,10,1,5,0,,27,12,1,4,0,,51,43,54.3,39,34,53.4,26,25,51.0,69.2,80.0
31,2016-12-15,@,Boston Bruins,4,3,W,,,27,8,0,3,0,,34,4,1,4,0,,38,69,35.5,30,47,39.0,23,20,53.5,25.9,110.0
32,2016-12-17,@,Detroit Red Wings,4,6,L,,,25,11,2,2,0,,32,9,0,3,0,,36,48,42.9,28,44,38.9,26,30,46.4,41.2,87.3
33,2016-12-19,@,Toronto Maple Leafs,3,2,W,,,28,6,2,5,0,,35,8,0,3,0,,40,42,48.8,31,28,52.5,30,18,62.5,46.7,96.1
34,2016-12-20,@,Montreal Canadiens,1,5,L,,,13,12,0,3,0,,34,6,2,6,0,,15,45,25.0,13,34,27.7,22,22,50.0,36.2,99.3
35,2016-12-22,@,Ottawa Senators,1,2,L,OT,,25,11,1,4,0,,18,15,1,2,0,,46,30,60.5,32,20,61.5,24,22,52.2,49.7,92.9
36,2016-12-27,,San Jose Sharks,2,3,L,OT,,36,13,0,1,0,,25,7,0,4,0,,60,38,61.2,50,29,63.3,31,17,64.6,60.9,91.8
37,2016-12-29,@,Calgary Flames,3,1,W,,,25,10,2,6,0,,32,14,0,4,0,,35,27,56.5,26,22,54.2,18,19,48.6,31.0,100.6
38,2016-12-30,@,Vancouver Canucks,2,3,L,OT,,26,14,0,1,1,,26,2,1,7,0,,33,35,48.5,22,26,45.8,21,18,53.8,64.6,95.6
39,2017-01-01,,Philadelphia Flyers,4,3,W,SO,,25,19,0,2,0,,55,13,1,5,0,,41,65,38.7,30,49,38.0,24,24,50.0,39.4,110.0
40,2017-01-04,,Detroit Red Wings,2,0,W,,,24,8,0,4,0,,23,10,,3,,,50,39,56.2,38,31,55.1,16,22,42.1,50.9,108.7
41,2017-01-06,,Arizona Coyotes,3,2,W,OT,,35,4,0,3,0,,23,6,1,2,0,,60,32,65.2,47,23,67.1,22,18,55.0,60.0,103.8
